iter	Passed	Remaining
400	17753	26519
401	17795	26472
402	17838	26425
403	17882	26380
404	17925	26335
405	17966	26286
406	18007	26237
407	18051	26191
408	18095	26148
409	18144	26109
410	18185	26061
411	18231	26020
412	18275	25974
413	18320	25932
414	18360	25882
415	18405	25837
416	18445	25788
417	18483	25735
418	18529	25693
419	18574	25650
420	18621	25610
421	18667	25568
422	18710	25521
423	18755	25478
424	18792	25425
425	18837	25382
426	18878	25333
427	18929	25297
428	18973	25253
429	19014	25205
430	19058	25160
431	19102	25115
432	19147	25072
433	19189	25026
434	19235	24983
435	19282	24943
436	19326	24899
437	19373	24857
438	19422	24820
439	19467	24777
440	19512	24732
441	19556	24689
442	19600	24644
443	19643	24598
444	19691	24559
445	19731	24510
446	19774	24463
447	19819	24420
448	19860	24372
449	19904	24327
450	19946	24281
451	19989	24234
452	20035	24192
453	20079	24148
454	20124	24104
455	20167	24059
456	20217	24021
457	20261	23977
458	20304	23931
459	20347	23886
460	20388	23837
461	20433	23794
462	20474	23747
463	20522	23707
464	20565	23661
465	20608	23615
466	20652	23571
467	20695	23525
468	20741	23482
469	20785	23438
470	20826	23391
471	20871	23348
472	20915	23303
473	20961	23260
474	21001	23211
475	21046	23169
476	21091	23125
477	21132	23077
478	21175	23032
479	21218	22986
480	21262	22941
481	21314	22905
482	21356	22859
483	21398	22813
484	21443	22769
485	21487	22725
486	21530	22679
487	21575	22637
488	21616	22589
489	21659	22543
490	21708	22504
491	21749	22456
492	21795	22414
493	21840	22370
494	21882	22324
495	21927	22280
496	21966	22231
497	22012	22189
498	22055	22143
499	22110	22110
500	22154	22065
501	22197	22020
502	22244	21978
503	22288	21934
504	22331	21889
505	22374	21843
506	22413	21794
507	22456	21749
508	22504	21709
509	22547	21663
510	22592	21619
511	22637	21576
512	22681	21531
513	22726	21488
514	22770	21444
515	22813	21398
516	22855	21352
517	22901	21310
518	22947	21267
519	22992	21223
520	23037	21179
521	23078	21133
522	23122	21088
523	23168	21046
524	23211	21000
525	23254	20955
526	23305	20917
527	23345	20869
528	23386	20822
529	23426	20774
530	23471	20730
531	23517	20688
532	23558	20641
533	23605	20599
534	23648	20554
535	23692	20509
536	23735	20464
537	23776	20417
538	23823	20375
539	23867	20331
540	23915	20290
541	23958	20245
542	24019	20215
543	24101	20202
544	24191	20196
545	24271	20182
546	24342	20159
547	24409	20133
548	24475	20106
549	24538	20077
550	24595	20042
551	24652	20007
552	24703	19968
553	24758	19931
554	24818	19899
555	24869	19860
556	24918	19818
557	24975	19783
558	25032	19748
559	25087	19711
560	25138	19671
561	25199	19639
562	25252	19601
563	25305	19562
564	25354	19520
565	25414	19487
566	25461	19443
567	25506	19399
568	25556	19358
569	25603	19315
570	25651	19272
571	25696	19227
572	25745	19185
573	25790	19140
574	25838	19097
575	25889	19057
576	25936	19014
577	25990	18975
578	26051	18942
579	26114	18910
580	26170	18873
581	26236	18843
582	26293	18806
583	26348	18769
584	26402	18730
585	26462	18695
586	26513	18654
587	26567	18615
588	26625	18579
589	26682	18542
590	26731	18499
591	26785	18460
592	26839	18421
593	26890	18379
594	26940	18337
595	27001	18302
596	27053	18262
597	27108	18223
598	27161	18183
599	27227	18151
600	27277	18109
601	27331	18069
602	27386	18030
603	27445	17993
604	27493	17950
605	27544	17908
606	27594	17865
607	27645	17824
608	27696	17781
609	27749	17741
610	27808	17704
611	27861	17663
612	27912	17621
613	27974	17586
614	28024	17543
615	28074	17501
616	28128	17460
617	28194	17427
618	28245	17385
619	28294	17341
620	28353	17304
621	28402	17260
622	28456	17220
623	28505	17176
624	28557	17134
625	28616	17096
626	28673	17057
627	28722	17013
628	28781	16976
629	28835	16935
630	28888	16893
631	28940	16851
632	29022	16826
633	29108	16803
634	29170	16767
635	29233	16731
636	29312	16703
637	29394	16678
638	29454	16640
639	29514	16601
640	29590	16572
641	29666	16543
642	29716	16499
643	29785	16465
644	29875	16443
645	29940	16406
646	29992	16363
647	30073	16336
648	30139	16300
649	30206	16264
650	30267	16226
651	30320	16183
652	30386	16147
653	30465	16117
654	30534	16082
655	30588	16040
656	30640	15996
657	30709	15961
658	30782	15928
659	30869	15902
660	30922	15858
661	30973	15814
662	31025	15770
663	31114	15744
664	31195	15715
665	31253	15673
666	31305	15629
667	31354	15583
668	31401	15536
669	31459	15495
670	31545	15466
671	31617	15432
672	31670	15388
673	31722	15343
674	31772	15297
675	31826	15254
676	31899	15219
677	31999	15197
678	32071	15161
679	32130	15120
680	32196	15081
681	32247	15036
682	32335	15007
683	32428	14981
684	32485	14938
685	32536	14892
686	32595	14850
687	32649	14806
688	32703	14761
689	32787	14730
690	32869	14698
691	32925	14654
692	32975	14608
693	33029	14563
694	33086	14519
695	33138	14474
696	33189	14428
697	33246	14384
698	33297	14338
699	33357	14295
700	33400	14246
701	33445	14197
702	33496	14151
703	33555	14108
704	33613	14065
705	33658	14016
706	33696	13964
707	33748	13918
708	33804	13874
709	33858	13829
710	33907	13782
711	33947	13731
712	33995	13684
713	34038	13634
714	34084	13585
715	34125	13535
716	34167	13486
717	34211	13436
718	34252	13386
719	34296	13337
720	34341	13288
721	34385	13239
722	34431	13191
723	34474	13142
724	34518	13093
725	34559	13042
726	34601	12993
727	34647	12945
728	34687	12894
729	34730	12845
730	34771	12795
731	34822	12749
732	34866	12700
733	34908	12650
734	34954	12602
735	34992	12551
736	35035	12502
737	35077	12452
738	35121	12404
739	35164	12355
740	35208	12306
741	35247	12255
742	35290	12206
743	35333	12157
744	35374	12108
745	35416	12058
746	35456	12008
747	35499	11959
748	35539	11909
749	35582	11860
750	35624	11811
751	35665	11761
752	35707	11712
753	35751	11664
754	35795	11615
755	35836	11566
756	35877	11516
757	35917	11467
758	35960	11418
759	36004	11369
760	36046	11320
761	36084	11270
762	36130	11222
763	36171	11173
764	36210	11123
765	36251	11074
766	36293	11025
767	36335	10976
768	36377	10927
769	36419	10878
770	36464	10830
771	36503	10780
772	36548	10732
773	36589	10683
774	36630	10634
775	36670	10585
776	36711	10536
777	36751	10486
778	36788	10436
779	36829	10387
780	36875	10340
781	36914	10290
782	36959	10242
783	37000	10194
784	37041	10145
785	37082	10096
786	37123	10047
787	37166	9999
788	37206	9950
789	37252	9902
790	37295	9854
791	37333	9804
792	37376	9756
793	37418	9707
794	37458	9659
795	37500	9610
796	37542	9562
797	37588	9514
798	37630	9466
799	37674	9418
800	37717	9370
801	37759	9322
802	37804	9274
803	37851	9227
804	37890	9178
805	37928	9129
806	37970	9080
807	38011	9032
808	38057	8985
809	38097	8936
810	38137	8887
811	38178	8839
812	38222	8791
813	38262	8743
814	38303	8694
815	38345	8646
