iter	Logloss
0	0.6918524608
1	0.6908327892
2	0.6897919141
3	0.6888901518
4	0.6878144426
5	0.6868971392
6	0.6857073759
7	0.6851222871
8	0.6837913116
9	0.6826166592
10	0.6818079197
11	0.6809356217
12	0.6801748823
13	0.6795375595
14	0.6784751197
15	0.6774091001
16	0.6766453489
17	0.6760476448
18	0.6754640188
19	0.6748876385
20	0.6743251643
21	0.6737538267
22	0.6732094752
23	0.6726654162
24	0.6721699942
25	0.6716996824
26	0.6711444882
27	0.6706018921
28	0.6696920924
29	0.6692243105
30	0.6688922852
31	0.6682678359
32	0.6678404298
33	0.6673912869
34	0.6666542464
35	0.6663844371
36	0.6656441782
37	0.6648185035
38	0.6644888016
39	0.6641082254
40	0.6635956101
41	0.6633980161
42	0.6626654159
43	0.6622498851
44	0.6619158461
45	0.661547214
46	0.6612931007
47	0.6608513067
48	0.6605817899
49	0.6603075403
50	0.6600644933
51	0.6594136775
52	0.6590790878
53	0.6588765372
54	0.6585808777
55	0.6583675361
56	0.6576289122
57	0.6572766645
58	0.6570721347
59	0.6567158769
60	0.6565711537
61	0.656320775
62	0.6560757144
63	0.655920923
64	0.6556151265
65	0.6553178836
66	0.6550864882
67	0.6548459023
68	0.6542340339
69	0.6540239107
70	0.653713192
71	0.6535545971
72	0.653291431
73	0.6529599564
74	0.6527850287
75	0.6525396239
76	0.6521852248
77	0.6518756592
78	0.6516609236
79	0.6513508072
80	0.6510789671
81	0.650906139
82	0.6507282683
83	0.6505980363
84	0.6503770188
85	0.6502150506
86	0.6500727712
87	0.6498656598
88	0.6496626101
89	0.649398945
90	0.6492139319
91	0.6490852833
92	0.6489429695
93	0.6486474476
94	0.6483676218
95	0.6482520187
96	0.6481112539
97	0.6478462635
98	0.6477412449
99	0.6476054884
100	0.6473338203
101	0.6471620421
102	0.6470511719
103	0.6469693875
104	0.6466897854
105	0.6465720139
106	0.6464719347
107	0.6463438884
108	0.6461801992
109	0.6460253561
110	0.6459370145
111	0.6457978158
112	0.6457199038
113	0.6456118906
114	0.6453545761
115	0.6452273215
116	0.6451473959
117	0.6449266365
118	0.6448008965
119	0.6445902914
120	0.6444526588
121	0.6440852314
122	0.6438723029
123	0.6437556328
124	0.6436242133
125	0.6434513164
126	0.6430091437
127	0.6427593502
128	0.6426598218
129	0.64257506
130	0.6424258448
131	0.6422226574
132	0.6419596979
133	0.6413822849
134	0.6412718106
135	0.6410554571
136	0.6409773558
137	0.6405371451
138	0.6403885495
139	0.6403158351
140	0.6399099077
141	0.6398594637
142	0.639687238
143	0.6395817892
144	0.6395067341
145	0.6393550578
146	0.6391081385
147	0.6390271802
148	0.6388696523
149	0.6385468518
150	0.6384718139
151	0.6381274314
152	0.6379417471
153	0.6377543934
154	0.6375930276
155	0.6374671499
156	0.6373766225
157	0.6370810663
158	0.636856882
159	0.6364107509
160	0.6363390347
161	0.6362306256
162	0.6360771767
163	0.6360093844
164	0.635907567
165	0.6358205334
166	0.6357163753
167	0.6354675973
168	0.6352385941
169	0.6350013987
170	0.6349174802
171	0.6347912066
172	0.634515081
173	0.6344735693
174	0.6343495847
175	0.6341258996
176	0.6339665646
177	0.6338495847
178	0.6337800025
179	0.6337200755
180	0.6336680825
181	0.6336064344
182	0.6334135562
183	0.6331170877
184	0.6330537702
